product_id,category,model,storage,color,variant_detail,price_usd
SKU-1331,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,41mm / Leather Band,649
SKU-1332,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,41mm / Trail Band,629
SKU-1333,Apple Watch,Apple Watch Series 11,N/A,Aluminum,45mm / Sport Band,399
SKU-1334,Apple Watch,Apple Watch Series 11,N/A,Aluminum,45mm / Milanese Band,449
SKU-1335,Apple Watch,Apple Watch Series 11,N/A,Aluminum,45mm / Leather Band,449
SKU-1336,Apple Watch,Apple Watch Series 11,N/A,Aluminum,45mm / Trail Band,429
SKU-1337,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,45mm / Sport Band,599
SKU-1338,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,45mm / Milanese Band,649
SKU-1339,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,45mm / Leather Band,649
SKU-1340,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,45mm / Trail Band,629
SKU-1341,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,40mm / Sport Band,249
SKU-1342,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,40mm / Milanese Band,299
SKU-1343,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,40mm / Leather Band,299
SKU-1344,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,40mm / Trail Band,279
SKU-1345,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,44mm / Sport Band,249
SKU-1346,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,44mm / Milanese Band,299
SKU-1347,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,44mm / Leather Band,299
SKU-1348,Apple Watch,Apple Watch SE (3rd Gen),N/A,Aluminum,44mm / Trail Band,279
SKU-1349,Apple Watch,Apple Watch Ultra 3,N/A,Titanium,49mm / Sport Band,799
SKU-1350,Apple Watch,Apple Watch Ultra 3,N/A,Titanium,49mm / Milanese Band,849
SKU-1351,Apple Watch,Apple Watch Ultra 3,N/A,Titanium,49mm / Leather Band,849
SKU-1352,Apple Watch,Apple Watch Ultra 3,N/A,Titanium,49mm / Trail Band,829
SKU-1353,Audio,AirPods (4th Gen),N/A,White,Standard Case,129
SKU-1354,Audio,AirPods (4th Gen),N/A,White,Wireless Charging Case,179
SKU-1355,Audio,AirPods Pro (3rd Gen),N/A,White,USB-C Case,249
SKU-1356,Audio,AirPods Pro (3rd Gen),N/A,White,Wireless Charging Case,279
SKU-1357,Audio,AirPods Max 2,N/A,Space Grey,Space Grey,549
SKU-1358,Audio,AirPods Max 2,N/A,Silver,Silver,549
SKU-1359,Audio,AirPods Max 2,N/A,Blue,Blue,549
SKU-1360,Audio,AirPods Max 2,N/A,Green,Green,549
